ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID
A_23_P301476	NM_173657	C3orf33	chromosome 3 open reading frame 33	ENST00000537385
A_21_P0010476		XLOC_014336		
A_21_P0010594		XLOC_l2_000727		
A_21_P0007948		XLOC_010435		ENST00000448806
A_24_P167877	NM_001135865	LOC100132247	nuclear pore complex interacting protein related gene	ENST00000451409
A_33_P3275000	NM_001083621	ZBTB40	zinc finger and BTB domain containing 40	ENST00000400239
A_24_P261724	NM_014868	RNF10	ring finger protein 10	ENST00000543757
A_19_P00321801	NM_001142800	EYS		ENST00000370616
A_23_P259874	NM_012430	SEC22A	SEC22 vesicle trafficking protein homolog A (S. cerevisiae)	ENST00000309934
A_21_P0005318		XLOC_006522		ENST00000415249
A_24_P942743	NM_003411	ZFY	zinc finger protein, Y-linked	ENST00000155093
A_19_P00318883	NR_038361	LOC100505854	uncharacterized LOC100505854	
A_21_P0010138		XLOC_013862		ENST00000435315
A_24_P289170	NM_001080414	CCDC88C	coiled-coil domain containing 88C	ENST00000556767
A_23_P395172	NM_007011	ABHD2	abhydrolase domain containing 2	ENST00000352732
A_23_P51051	NM_001105537	ZNF142	zinc finger protein 142	ENST00000449707
A_19_P00321183	XR_110490	LOC100506392	uncharacterized LOC100506392	
A_33_P3244007		NEBL	nebulette	ENST00000377119
A_23_P114259	NM_080873	ASB11	ankyrin repeat and SOCS box containing 11	ENST00000485437
A_19_P00318813		XLOC_012335		
A_23_P25030	NM_003725	HSD17B6	hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse)	ENST00000554150
A_23_P138524	NM_198148	CPXM2	carboxypeptidase X (M14 family), member 2	ENST00000474277
A_24_P943894	NM_152753	SCUBE3	signal peptide, CUB domain, EGF-like 3	ENST00000394681
A_23_P397308	NM_138343	KLC4	kinesin light chain 4	ENST00000472792
A_33_P3358745	NM_001093726	SEPP1	selenoprotein P, plasma, 1	ENST00000506577
A_23_P10647	NM_018659	CYTL1	cytokine-like 1	ENST00000307746
A_21_P0002370		XLOC_001894		
A_33_P3340154	NM_022719	DGCR14	DiGeorge syndrome critical region gene 14	ENST00000252137
A_21_P0004987		XLOC_005574		
A_33_P3323258				
A_24_P336584	NM_182664	RASSF5	Ras association (RalGDS/AF-6) domain family member 5	ENST00000367118
A_21_P0010686		XLOC_l2_000010		ENST00000412115
A_33_P3298750				
A_23_P75453	NM_130803	MEN1	multiple endocrine neoplasia I	
A_33_P3263906		TUBE1	tubulin, epsilon 1	ENST00000368657
A_33_P3417472				ENST00000412492
A_23_P63751	NM_006793	PRDX3	peroxiredoxin 3	ENST00000298510
A_33_P3272080		QRFP	pyroglutamylated RFamide peptide	
A_23_P117274	NM_005932	MIPEP	mitochondrial intermediate peptidase	ENST00000382172
A_33_P3345643	XM_003403780			ENST00000522356
A_24_P32085	NM_024761	MOB3B	MOB kinase activator 3B	ENST00000262244
A_33_P3319982				
A_21_P0004790		XLOC_005876		ENST00000456346
A_33_P3258727				
A_21_P0013071		XLOC_l2_012925		
A_23_P29495	NM_001904	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	ENST00000396185
A_33_P3292130				
A_21_P0011596		XLOC_l2_006138		
A_21_P0004030		XLOC_004470		ENST00000507217
A_24_P202558	NM_015073	SIPA1L3	signal-induced proliferation-associated 1 like 3	ENST00000222345
A_24_P53150	NM_032271	TRAF7	TNF receptor-associated factor 7	ENST00000326181
A_33_P3398822	NM_014838	ZBED4	zinc finger, BED-type containing 4	ENST00000216268
A_33_P3424577				
A_24_P269129	NM_153746	ZDHHC14	zinc finger, DHHC-type containing 14	ENST00000518214
A_21_P0008316		XLOC_010791		
A_24_P200000	NM_182915	STEAP3	STEAP family member 3, metalloreductase	ENST00000450943
A_33_P3312985	XR_109694	C22orf37	chromosome 22 open reading frame 37	
A_24_P299423		IL16	interleukin 16	ENST00000394655
A_21_P0009091		XLOC_011618		
A_33_P3273233	XR_111610			ENST00000538868
A_24_P170439	NR_027256	TREML3	triggering receptor expressed on myeloid cells-like 3	
A_21_P0012653		XLOC_l2_011041		ENST00000514043
A_33_P3213551	NM_030974	SHARPIN	SHANK-associated RH domain interactor	ENST00000398712
A_21_P0006020		XLOC_007413		ENST00000455583
A_21_P0010037		XLOC_013742		
A_33_P3272169	NM_003388	CLIP2	CAP-GLY domain containing linker protein 2	ENST00000395060
A_33_P3277407	NM_182931	MLL5	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	ENST00000393656
A_21_P0001735		XLOC_000947		
A_21_P0000449	NR_003328	SNORD116-13	small nucleolar RNA, C/D box 116-13	
A_21_P0013399	NM_001195541	LOC100289187	transmembrane protein 225-like	ENST00000429679
A_23_P435610	NM_015047	KIAA0090	KIAA0090	ENST00000375208
A_33_P3224745	NM_012320	PLA2G15	phospholipase A2, group XV	ENST00000219345
A_33_P3389693				ENST00000357401
A_33_P3311907	NM_001143965	TBC1D7	TBC1 domain family, member 7	ENST00000379291
A_24_P153456	NM_024786	ZDHHC11	zinc finger, DHHC-type containing 11	ENST00000283441
A_23_P212497	NM_032169	ACAD11	acyl-CoA dehydrogenase family, member 11	ENST00000485198
A_21_P0003083		XLOC_002975		
A_33_P3245665				ENST00000390394
A_23_P15889	NM_182511	CBLN2	cerebellin 2 precursor	ENST00000269503
A_24_P927614	XR_108485	ARVP6125	uncharacterized LOC442092	
A_23_P123563	NM_001010	RPS6	ribosomal protein S6	ENST00000315377
A_24_P57170	NM_001039887	C19orf55	chromosome 19 open reading frame 55	ENST00000542134
A_23_P79302	NM_177964	LYPD6B	LY6/PLAUR domain containing 6B	ENST00000409876
A_24_P225961	NM_004393	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	
A_23_P138665	NM_005271	GLUD1	glutamate dehydrogenase 1	ENST00000537649
A_21_P0000188	NM_001422	ELF5	E74-like factor 5 (ets domain transcription factor)	
A_23_P340617	NM_000826	GRIA2	glutamate receptor, ionotropic, AMPA 2	ENST00000296526
A_23_P77661	NM_001130913	ZNF720	zinc finger protein 720	ENST00000542684
A_33_P3807062	NM_018410	HJURP	Holliday junction recognition protein	ENST00000433484
A_33_P3236426		FLJ16734	uncharacterized LOC641928	
A_33_P3301970	NM_018571	STRADB	STE20-related kinase adaptor beta	ENST00000392249
A_32_P66756	XM_003403497	LOC152586	glycosyltransferase 54 domain-containing protein	ENST00000513106
A_33_P3772739	NR_033837	LINC00309	long intergenic non-protein coding RNA 309	ENST00000431020
A_21_P0009816		XLOC_013679		
A_21_P0000451	NR_003341	SNORD116-27	small nucleolar RNA, C/D box 116-27	
A_33_P3283136	NM_032842	TMEM209	transmembrane protein 209	ENST00000336804
A_33_P3255597				
A_21_P0004592		XLOC_005126		
A_21_P0014368	XR_109483	LOC100505754	uncharacterized LOC100505754	
A_33_P3394559	NM_001010889	PRAMEF6	PRAME family member 6	
A_21_P0007737		XLOC_010149		
A_24_P182892	NM_025243	SLC19A3	solute carrier family 19, member 3	ENST00000425817
A_33_P3261828		LOC390660	FLJ00317 protein	
A_23_P4082	NM_006584	CCT6B	chaperonin containing TCP1, subunit 6B (zeta 2)	ENST00000436961
A_33_P3312897				ENST00000433072
A_21_P0002717		XLOC_003239		ENST00000488425
A_21_P0002385		XLOC_001958		ENST00000453678
A_21_P0003503		XLOC_004074		ENST00000503542
A_24_P394698	NM_181747	ORC5	origin recognition complex, subunit 5	ENST00000422497
A_21_P0004285		XLOC_004514		
A_23_P115597	NM_014915	ANKRD26	ankyrin repeat domain 26	ENST00000436985
A_33_P3318781				
A_33_P3220643	NM_001002913	PTRH1	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)	ENST00000543175
A_33_P3405904				
A_24_P56484	NM_032352	BRMS1L	breast cancer metastasis-suppressor 1-like	ENST00000216807
A_33_P3254695	NR_004404	RNU105A	RNA, U105A small nucleolar	
A_23_P154086	NM_004328	BCS1L	BCS1-like (S. cerevisiae)	ENST00000439945
A_19_P00811940		XLOC_002759		
A_33_P3231407		PYHIN1	pyrin and HIN domain family, member 1	ENST00000368135
A_32_P381593	NM_134266	SLC26A7	solute carrier family 26, member 7	ENST00000309536
A_33_P3276112				ENST00000514768
A_21_P0008237		XLOC_010419		
A_23_P150080	NM_183005	RPP38	ribonuclease P/MRP 38kDa subunit	ENST00000378203
A_33_P3369864				
A_33_P3801258	NR_040247	DAOA-AS1	DAOA antisense RNA 1 (non-protein coding)	ENST00000448407
A_21_P0003896		XLOC_003970		
A_23_P127013	NM_030756	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	
A_33_P3562537	NM_020630	RET	ret proto-oncogene	ENST00000340058
A_21_P0007264		XLOC_009252		
A_33_P3323928	NR_026762	LINC00263	long intergenic non-protein coding RNA 263	
A_23_P124327	NM_022455	NSD1	nuclear receptor binding SET domain protein 1	ENST00000347982
A_24_P24053				ENST00000390632
A_33_P3411035	NM_003061	SLIT1	slit homolog 1 (Drosophila)	ENST00000371070
A_21_P0011223		XLOC_l2_003936		ENST00000440160
A_23_P205255	NM_001242417	WDR20	WD repeat domain 20	
A_21_P0008819		XLOC_011197		
A_23_P410312	NM_207435	C12orf76	chromosome 12 open reading frame 76	ENST00000309050
A_24_P230721	NM_032856	WDR73	WD repeat domain 73	ENST00000398528
A_33_P3239884	NM_004540	NCAM2	neural cell adhesion molecule 2	ENST00000400546
A_21_P0010536	NM_018284	GBP3	guanylate binding protein 3	ENST00000461384
A_33_P3419621		LOC100289580	uncharacterized LOC100289580	
A_23_P166929	NM_005025	SERPINI1	serpin peptidase inhibitor, clade I (neuroserpin), member 1	ENST00000472941
A_23_P40307	NM_003092	SNRPB2	small nuclear ribonucleoprotein polypeptide B	ENST00000246071
A_32_P182511	NM_020947	KIAA1609	KIAA1609	ENST00000343629
A_33_P3256680	NM_004225	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	ENST00000276282
A_21_P0000201	NM_032144	RAB6C	RAB6C, member RAS oncogene family	
A_21_P0011405	NM_001164465	GOLGA6L10	golgin A6 family-like 10	ENST00000503347
A_33_P3407195	NM_148894	BOD1L	biorientation of chromosomes in cell division 1-like	ENST00000040738
A_21_P0005784		XLOC_006972		
A_23_P130064	NM_007241	SNF8	SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)	ENST00000509989
A_21_P0002205		XLOC_001448		
A_23_P3450	NM_014444	TUBGCP4	tubulin, gamma complex associated protein 4	ENST00000399460
A_33_P3280811	NM_144965	TTC16	tetratricopeptide repeat domain 16	ENST00000316259
A_19_P00317748		Q5C5N0		ENST00000513234
A_33_P3742500		LOC642947	uncharacterized LOC642947	
A_21_P0007384		XLOC_009526		
A_21_P0001636		XLOC_001230		ENST00000433058
A_19_P00800206	NR_036586	LOC400958	uncharacterized LOC400958	ENST00000449259
A_23_P51117	NM_019002	ETAA1	Ewing tumor-associated antigen 1	ENST00000272342
A_23_P118254	NM_001451	FOXF1	forkhead box F1	ENST00000262426
A_24_P215407	NM_004397	DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	ENST00000545741
A_33_P3367251	NM_001114395	CNTLN	centlein, centrosomal protein	
A_21_P0009264		XLOC_012281		
A_33_P3313864				
A_23_P59202	NM_005643	TAF11	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa	ENST00000420584
A_24_P353905	NM_032348	MXRA8	matrix-remodelling associated 8	ENST00000476718
A_21_P0011322	NM_020759	STARD9	StAR-related lipid transfer (START) domain containing 9	ENST00000290607
A_33_P3368905		FLJ39739	uncharacterized FLJ39739	
A_23_P111797		DKFZP434F142	uncharacterized DKFZp434F142	
A_21_P0001970		XLOC_001864		ENST00000452813
A_24_P160225	NM_024689	CXorf36	chromosome X open reading frame 36	ENST00000377934
A_33_P3250356	NM_001162530	SH3D21	SH3 domain containing 21	ENST00000505871
A_33_P3403913	XR_133099	LOC100653259	e3 ubiquitin-protein ligase HERC2-like	
A_21_P0000205	NM_182626	C2orf48	chromosome 2 open reading frame 48	ENST00000381786
A_23_P254165	NM_021785	RAI2	retinoic acid induced 2	
A_33_P3290582				
A_33_P3311979	NM_153813	ZFPM1	zinc finger protein, multitype 1	ENST00000319555
A_23_P124044	NM_021008	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	ENST00000527658
A_33_P3276369	NM_016371	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	ENST00000494540
A_24_P295999	NM_000616	CD4	CD4 molecule	
A_33_P3336427				
A_21_P0009343	XR_132630	LOC645722	uncharacterized LOC645722	
A_23_P115407	NM_146421	GSTM1	glutathione S-transferase mu 1	
A_33_P3223663				
A_21_P0008399		XLOC_010947		
A_33_P3291619	NR_040079	LOC399715	uncharacterized LOC399715	ENST00000399868
A_19_P00317141	NR_034143	LOC729177	uncharacterized LOC729177	
A_24_P80135	NM_014369	PTPN18	protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	ENST00000175756
A_21_P0010582	NR_027247	LOC100130331	POTE ankyrin domain family, member F pseudogene	ENST00000450451
A_23_P131096	NM_005035	POLRMT	polymerase (RNA) mitochondrial (DNA directed)	ENST00000215591
A_21_P0010773	NR_033856	FLJ43315	asparagine synthetase pseudogene	ENST00000416367
A_32_P233938	NM_001040057	FAM133B	family with sequence similarity 133, member B	
A_33_P3253598	NR_033667	GYG2P1	glycogenin 2 pseudogene 1	ENST00000382963
A_21_P0012318		XLOC_l2_009320		ENST00000449711
A_33_P3318069				
A_33_P3289371		PHACTR3	phosphatase and actin regulator 3	ENST00000492611
A_33_P3217786	NR_002817	AQP7P1	aquaporin 7 pseudogene 1	ENST00000379506
A_23_P11237	NM_004606	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	ENST00000395779
A_21_P0001672		XLOC_000147		
A_33_P3260964	NR_024441	LOC731779	uncharacterized LOC731779	ENST00000521073
A_33_P3276758				
A_21_P0001617		XLOC_001189		
A_21_P0007599		XLOC_009827		
A_23_P120860	NM_003634	NIPSNAP1	nipsnap homolog 1 (C. elegans)	ENST00000216121
A_23_P37127	NM_004496	FOXA1	forkhead box A1	ENST00000250448
A_24_P184445	NM_002429	MMP19	matrix metallopeptidase 19	ENST00000394182
A_21_P0012853		XLOC_l2_011798		
A_21_P0003369		XLOC_003549		ENST00000508135
A_23_P105664	NM_014167	CCDC59	coiled-coil domain containing 59	ENST00000548126
A_33_P3322804	NM_001018064	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	
A_33_P3305243		PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	ENST00000373903
A_33_P3289835		OSBPL9	oxysterol binding protein-like 9	ENST00000531819
A_24_P226332	NM_004440	EPHA7	EPH receptor A7	ENST00000369303
A_21_P0003727		XLOC_003904		
A_33_P3278407	NM_001207008	MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	ENST00000366809
A_33_P3383271	NM_054104	OR6C3	olfactory receptor, family 6, subfamily C, member 3	ENST00000379667
A_23_P209055	NM_001771	CD22	CD22 molecule	
A_21_P0006989		XLOC_008795		
A_19_P00319184		XLOC_006560		ENST00000412410
A_23_P435697	NM_015608	C10orf137	chromosome 10 open reading frame 137	ENST00000337623
A_21_P0009929		XLOC_013447		
A_19_P00320715		XLOC_003204		
A_33_P3387756	NM_001007125	C20orf201	chromosome 20 open reading frame 201	ENST00000308906
A_19_P00319155	XR_109781	LOC100126447	uncharacterized LOC100126447	
A_33_P3269408	NM_207426	FOXI2	forkhead box I2	ENST00000388920
A_33_P3290672	NM_016275	SELT	selenoprotein T	
A_23_P38649	NM_000529	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)	ENST00000399821
A_33_P3870906	NR_038320	LOC100507634	uncharacterized LOC100507634	
A_33_P3378920	NM_001198845	RBM14-RBM4	RBM14-RBM4 readthrough	
A_21_P0004892		XLOC_005332		
A_19_P00812723		XLOC_012885		
A_24_P414376	NM_016531	KLF3	Kruppel-like factor 3 (basic)	ENST00000261438
A_33_P3344291	XR_111092			ENST00000356374
A_21_P0012230		XLOC_l2_009182		ENST00000452028
A_21_P0013335		XLOC_l2_013910		
A_23_P312505	NM_000372	TYR	tyrosinase (oculocutaneous albinism IA)	ENST00000526139
A_24_P70906	NM_174924	PDILT	protein disulfide isomerase-like, testis expressed	ENST00000302451
A_23_P33326	NM_000679	ADRA1B	adrenergic, alpha-1B-, receptor	
A_24_P6864				ENST00000304105
A_23_P501805	NM_145197	LIPT1	lipoyltransferase 1	
A_21_P0006932		XLOC_008658		
A_21_P0006670	XR_109024	LOC100505601	uncharacterized LOC100505601	ENST00000446211
A_33_P3408665				
A_23_P48358	NM_000282	PCCA	propionyl CoA carboxylase, alpha polypeptide	ENST00000376277
A_33_P3397716		LOC401320	uncharacterized LOC401320	
A_23_P75839	NM_006292	TSG101	tumor susceptibility gene 101	ENST00000357193
A_23_P99785	NM_024643	FAM164C	family with sequence similarity 164, member C	ENST00000439583
A_19_P00321973		Q29HP5		
A_33_P3254606	NM_001083961	WDR62	WD repeat domain 62	ENST00000401500
A_23_P48835	NM_138555	KIF23	kinesin family member 23	ENST00000260363
A_33_P3266614				
A_21_P0010986	NM_001025204	U2AF1	U2 small nuclear RNA auxiliary factor 1	ENST00000486519
A_21_P0007351		XLOC_009436		ENST00000530941
A_21_P0002002		XLOC_001960		ENST00000450397
A_24_P203308	NM_182489	STRA8	stimulated by retinoic acid gene 8 homolog (mouse)	ENST00000275764
A_33_P3289167	NM_014383	ZBTB32	zinc finger and BTB domain containing 32	ENST00000392197
A_33_P3304097				
A_23_P32320	NM_024083	ASPSCR1	alveolar soft part sarcoma chromosome region, candidate 1	ENST00000306739
A_21_P0008259		XLOC_010654		
A_33_P3336562				ENST00000442072
A_21_P0000626	NR_034034	LOC100288748	uncharacterized LOC100288748	
A_21_P0008644		XLOC_011287		
A_21_P0002614		XLOC_001701		
A_21_P0000686	NR_037803	BACE1-AS	BACE1 antisense RNA (non-protein coding)	
A_23_P129569	NM_024675	PALB2	partner and localizer of BRCA2	ENST00000261584
A_23_P41380	NM_002940	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	ENST00000296577
A_33_P3367577		EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1	ENST00000397520
A_33_P3422010	NM_178504	DNAH12	dynein, axonemal, heavy chain 12	ENST00000351747
A_24_P413941	NM_153689	C2orf69	chromosome 2 open reading frame 69	ENST00000319974
A_33_P3242109	XR_109115			ENST00000503602
A_23_P258393	NM_144641	PPM1M	protein phosphatase, Mg2+/Mn2+ dependent, 1M	ENST00000323588
A_24_P117954	NM_194281	INO80C	INO80 complex subunit C	ENST00000283410
A_21_P0011904		XLOC_l2_007884		
A_33_P3396389	NM_000877	IL1R1	interleukin 1 receptor, type I	ENST00000413623
A_24_P11100	NM_001011657	ZMAT1	zinc finger, matrin-type 1	ENST00000458570
A_21_P0002624		XLOC_001823		
A_24_P106112	NM_000297	PKD2	polycystic kidney disease 2 (autosomal dominant)	ENST00000237596
A_23_P106389	NM_003612	SEMA7A	semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)	ENST00000543145
A_23_P87072	NM_052959	PANX3	pannexin 3	ENST00000284288
A_19_P00323040		XLOC_l2_009979		ENST00000498616
A_33_P3214520	NM_001101338	ZNF883	zinc finger protein 883	
A_21_P0004664		XLOC_005365		ENST00000443221
A_33_P3421759	NM_032195	SON	SON DNA binding protein	ENST00000300278
A_33_P3383236	NM_198559	C2orf62	chromosome 2 open reading frame 62	ENST00000494447
A_33_P3277973		AMICA1	adhesion molecule, interacts with CXADR antigen 1	
A_21_P0010258		XLOC_013960		
A_33_P3283611	NM_001549	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	ENST00000543062
A_21_P0011943		XLOC_l2_008190		
A_23_P103812	NM_199051	FAM5C	family with sequence similarity 5, member C	ENST00000534846
A_24_P386771	NM_002710	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isozyme	ENST00000340766
A_33_P3334877	NM_198687	KRTAP10-4	keratin associated protein 10-4	ENST00000400374
A_21_P0007011		XLOC_008897		
A_23_P163408	NM_020843	SCAPER	S-phase cyclin A-associated protein in the ER	ENST00000538941
A_23_P259901	NM_012253	TKTL1	transketolase-like 1	ENST00000369915
A_23_P146209	NM_030954	RNF170	ring finger protein 170	
A_24_P417664	XM_003403528	CC2D2B	coiled-coil and C2 domain containing 2B	ENST00000469549
A_33_P3329477	NR_002803	RPL13P5	ribosomal protein L13 pseudogene 5	ENST00000412023
A_21_P0007328		XLOC_009395		
A_21_P0001880		XLOC_001537		ENST00000453951
A_19_P00324604	NM_001113434	C17orf51	chromosome 17 open reading frame 51	ENST00000391411
A_21_P0011742		LOC100506930	uncharacterized LOC100506930	
A_33_P3227788	NM_148977	PANK1	pantothenate kinase 1	ENST00000371774
A_21_P0008873	NM_001243722	LOC729264	TP53-target gene 3 protein-like	
A_23_P44244	NM_003069	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	ENST00000371122
A_23_P146946	NM_001323	CST6	cystatin E/M	ENST00000312134
A_24_P217572	NM_001957	EDNRA	endothelin receptor type A	ENST00000324300
A_19_P00317046		XLOC_012227		ENST00000492522
A_21_P0001987		XLOC_001930		ENST00000439196
A_23_P116587	NM_006189	OMP	olfactory marker protein	ENST00000529803
A_33_P3685297				
A_24_P136211				
A_23_P12357	NM_201253	CRB1	crumbs homolog 1 (Drosophila)	ENST00000538660
A_21_P0007892		TMEM116	transmembrane protein 116	
A_21_P0008985		XLOC_011810		
A_23_P27515	NM_012268	PLD3	phospholipase D family, member 3	ENST00000488311
A_23_P64808	NM_017410	HOXC13	homeobox C13	ENST00000243056
A_23_P80008	NM_033118	MYLK2	myosin light chain kinase 2	ENST00000375994
A_33_P3243519	NM_001164387	RAPGEF6	Rap guanine nucleotide exchange factor (GEF) 6	
A_33_P3393836	NM_001002010	NT5C3	5'-nucleotidase, cytosolic III	
A_33_P3279441	NM_001012511	GOSR2	golgi SNAP receptor complex member 2	ENST00000415811
A_33_P3271885				
A_21_P0005703		XLOC_006814		
A_21_P0014754	XR_132496	LOC100652937	uncharacterized LOC100652937	
A_24_P132039	NM_004290	RNF14	ring finger protein 14	
A_21_P0010273	NR_040254	D21S2088E	D21S2088E	
A_21_P0011462		XLOC_l2_005438		
A_23_P84047	NM_080832	PABPC5	poly(A) binding protein, cytoplasmic 5	ENST00000312600
A_21_P0000560	NR_028358	TMEM30C	transmembrane protein 30C	ENST00000476804
A_21_P0000740	NR_038260	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	ENST00000491442
A_23_P136870	NM_175868	MAGEA6	melanoma antigen family A, 6	ENST00000329342
A_33_P3363485	NM_018013	SOBP	sine oculis binding protein homolog (Drosophila)	ENST00000477448
A_33_P3353190				
A_33_P3329028	NR_027916	AKR1CL1	aldo-keto reductase family 1, member C-like 1	ENST00000334314
A_23_P106737	NM_201412	LUC7L	LUC7-like (S. cerevisiae)	ENST00000418978
A_23_P411612	NM_207344	SPRYD4	SPRY domain containing 4	ENST00000338146
A_21_P0011086		XLOC_l2_003293		ENST00000520314
A_33_P3329255		NDST2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	ENST00000398701
A_23_P383590	NR_026985	LOC339524	uncharacterized LOC339524	
A_33_P3268532	NM_001018073	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	ENST00000396973
A_21_P0006191	XR_108985	LOC100507438	uncharacterized LOC100507438	ENST00000413271
A_21_P0010938		XLOC_l2_001911		ENST00000457848
A_23_P161368	NM_000770	CYP2C8	cytochrome P450, family 2, subfamily C, polypeptide 8	
A_33_P3872301		SNAR-C3	small ILF3/NF90-associated RNA C3	
A_21_P0003095		XLOC_003006		
A_21_P0009114		XLOC_011819		
A_21_P0001453		XLOC_000650		ENST00000449298
A_23_P393099	NM_003226	TFF3	trefoil factor 3 (intestinal)	ENST00000518498
A_32_P95914	NM_198468	MMS22L	MMS22-like, DNA repair protein	ENST00000275053
A_21_P0000812	NR_038458	LOC400604	uncharacterized LOC400604	
A_21_P0011180		XLOC_l2_003908		
A_33_P3358541				
A_33_P3361701	NM_001127320	UBAP2L	ubiquitin associated protein 2-like	ENST00000465855
A_23_P203391	NM_001083926	ASRGL1	asparaginase like 1	ENST00000525708
A_24_P64329	NM_173575	STK32C	serine/threonine kinase 32C	ENST00000368625
A_33_P3263497		SNED1	sushi, nidogen and EGF-like domains 1	ENST00000401884
A_33_P3327847	NM_003901	SGPL1	sphingosine-1-phosphate lyase 1	ENST00000373202
A_24_P244410	NM_014042	C11orf51	chromosome 11 open reading frame 51	ENST00000538919
A_21_P0012202		XLOC_l2_009216		
A_21_P0003357		XLOC_003524		ENST00000511279
A_21_P0001145		XLOC_000883		ENST00000437080
A_33_P3298850	NM_013356	SLC16A8	solute carrier family 16, member 8 (monocarboxylic acid transporter 3)	ENST00000320521
A_21_P0010141		XLOC_013868		
A_23_P214354	NM_018303	EXOC2	exocyst complex component 2	ENST00000230449
A_24_P35537	NM_024557	RIC3	resistance to inhibitors of cholinesterase 3 homolog (C. elegans)	
A_23_P39605	NM_006588	SULT1C4	sulfotransferase family, cytosolic, 1C, member 4	ENST00000409309
A_23_P63379	NM_012113	CA14	carbonic anhydrase XIV	ENST00000369111
A_21_P0001638		XLOC_001242		
A_33_P3273255				ENST00000396407
A_24_P665504	NR_039983	LOC729737	uncharacterized LOC729737	
A_33_P3221090	NM_153002	GPR156	G protein-coupled receptor 156	ENST00000464295
A_23_P151321	NM_001024662	RPL6	ribosomal protein L6	ENST00000549847
A_19_P00807665	NR_045196	LOC100505806	uncharacterized LOC100505806	ENST00000508179
A_33_P3344264	NM_020175	DUS3L	dihydrouridine synthase 3-like (S. cerevisiae)	ENST00000309061
A_23_P30693	NM_000301	PLG	plasminogen	ENST00000461414
A_33_P3577120				
A_21_P0013887	NM_001243531	LOC100505679	uncharacterized LOC100505679	
A_23_P39718	NM_001042548	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)	ENST00000451623
A_33_P3271121		SH3BP4	SH3-domain binding protein 4	ENST00000484097
A_21_P0001516		XLOC_000855		
A_23_P120594	NM_032501	ACSS1	acyl-CoA synthetase short-chain family member 1	ENST00000537502
A_33_P3325704	NM_001024209	SPRR2E	small proline-rich protein 2E	ENST00000368751
A_23_P25746	NR_027263	C14orf128	chromosome 14 open reading frame 128	ENST00000553596
A_21_P0004395		XLOC_004831		
A_33_P3241753	NM_018838	NDUFA12	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12	ENST00000327772
A_23_P149529	NM_002353	TACSTD2	tumor-associated calcium signal transducer 2	ENST00000371225
A_24_P350589	NM_020724	RNF150	ring finger protein 150	ENST00000306799
A_33_P3237135	NM_004530	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	ENST00000437642
A_19_P00322495	NM_001195131	LOC100130890	uncharacterized LOC100130890	
A_33_P3209511		HAAO	3-hydroxyanthranilate 3,4-dioxygenase	ENST00000402268
A_23_P121480	NM_001004196	CD200	CD200 molecule	ENST00000478595
A_33_P3397496	NM_001994	F13B	coagulation factor XIII, B polypeptide	ENST00000367412
A_19_P00322498		Q7VPR2		
A_33_P3294836	NM_024573	C6orf211	chromosome 6 open reading frame 211	ENST00000494826
A_33_P3371209	NR_026992	LOC340017	uncharacterized LOC340017	ENST00000507108
A_33_P3266396	NM_001029885	GLTPD1	glycolipid transfer protein domain containing 1	ENST00000343938
A_23_P95453	NM_004801	NRXN1	neurexin 1	ENST00000406316
A_33_P3321533				
A_23_P251937	NM_030627	CPEB4	cytoplasmic polyadenylation element binding protein 4	ENST00000334035
