ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID	ENSEMBL_GENE_ID	ENTREZ_ID
A_21_P0004868	NA	XLOC_005220	NA	NA	NA	NA
A_21_P0001472	NA	XLOC_000723	NA	NA	NA	NA
A_21_P0008645	NA	XLOC_011288	NA	NA	NA	NA
A_21_P0009486	NA	XLOC_012690	NA	NA	NA	NA
A_33_P3375790	NM_001145014	RFPL4A	ret finger protein-like 4A	ENST00000341750	ENSG00000229292	729974
A_19_P00318390	NA	XLOC_l2_013314	NA	NA	NA	NA
A_23_P126057	NM_002979	SCP2	sterol carrier protein 2	NA	NA	NA
A_23_P217901	NM_001113207	TSTD1	thiosulfate sulfurtransferase (rhodanese)-like domain containing 1	ENST00000486084	ENSG00000215845	100131187
A_21_P0014725	XR_112823	LOC100506631	uncharacterized LOC100506631	NA	NA	NA
A_33_P3241696	NA	SLC45A2	solute carrier family 45, member 2	ENST00000345083	NA	NA
A_33_P3399474	NA	NA	NA	NA	NA	NA
A_24_P228228	NM_004775	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	ENST00000306851	ENSG00000118276	9331
A_33_P3236133	NM_018130	SHQ1	SHQ1 homolog (S. cerevisiae)	ENST00000325599	ENSG00000144736	55164
A_21_P0006313	NA	XLOC_007832	NA	NA	NA	NA
A_24_P91832	NM_012069	ATP1B4	ATPase, Na+/K+ transporting, beta 4 polypeptide	ENST00000218008	ENSG00000101892	23439
A_21_P0007478	NR_026948	LOC283332	uncharacterized LOC283332	NA	NA	NA
A_21_P0011813	NM_032927	TMEM128	transmembrane protein 128	ENST00000382753	ENSG00000132406	85013
A_21_P0013829	NA	XLOC_l2_015804	NA	NA	NA	NA
A_21_P0006653	NA	XLOC_008390	NA	ENST00000420825	ENSG00000231496	NA
A_33_P3376379	NM_001139459	CNST	consortin, connexin sorting protein	ENST00000366511	ENSG00000162852	163882
A_21_P0002955	NA	XLOC_002632	NA	NA	NA	NA
A_21_P0013351	NA	XLOC_l2_014024	NA	NA	NA	NA
A_33_P3229818	NM_199047	TBPL2	TATA box binding protein like 2	ENST00000247219	ENSG00000182521	387332
A_23_P74349	NM_145697	NUF2	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	ENST00000271452	ENSG00000143228	83540
A_33_P3851346	NR_027074	LOC283761	uncharacterized LOC283761	NA	NA	NA
A_24_P19677	NM_173065	IL28RA	interleukin 28 receptor, alpha (interferon, lambda receptor)	ENST00000374418	ENSG00000185436	163702
A_33_P3354137	NM_030885	MAP4	microtubule-associated protein 4	ENST00000360240	ENSG00000047849	4134
A_23_P36183	NM_005316	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	ENST00000453096	ENSG00000110768	2965
A_33_P3222822	NM_001201450	FLJ42280	putative uncharacterized protein FLJ42280	ENST00000356686	ENSG00000127922	7979
A_21_P0000348	NR_002996	SNORA80	small nucleolar RNA, H/ACA box 80	NA	NA	NA
A_23_P205875	NR_004859	SCAND2	SCAN domain containing 2 pseudogene	ENST00000348993	ENSG00000176700	NA
A_21_P0007420	NA	XLOC_009603	NA	NA	NA	NA
A_19_P00319308	NA	Q9BVX4	NA	NA	NA	NA
A_21_P0010676	NA	XLOC_l2_001331	NA	NA	NA	NA
A_23_P398491	NR_002208	MRPL42P5	mitochondrial ribosomal protein L42 pseudogene 5	NA	NA	NA
A_21_P0006960	NA	XLOC_008709	NA	NA	NA	NA
A_23_P138480	NM_024886	C10orf95	chromosome 10 open reading frame 95	ENST00000492465	ENSG00000269609	NA
A_21_P0003998	XR_108599	LOC100506329	uncharacterized LOC100506329	ENST00000509423	ENSG00000251125	NA
A_21_P0008890	NA	XLOC_011679	NA	ENST00000432973	ENSG00000231876	NA
A_21_P0014747	XR_132481	LOC100652915	NA	ENST00000437898	ENSG00000230424	NA
A_23_P160159	NM_003039	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	ENST00000456780	NA	NA
A_33_P3311646	NA	NA	NA	NA	NA	NA
A_33_P3324173	NA	NA	NA	NA	NA	NA
A_33_P3360072	NM_001161429	RANBP3L	RAN binding protein 3-like	ENST00000296604	ENSG00000164188	202151
A_33_P3318504	NA	NA	NA	NA	NA	NA
A_21_P0012450	NA	XLOC_l2_010258	NA	ENST00000491849	ENSG00000242641	NA
A_21_P0000291	NR_002751	SNORD41	small nucleolar RNA, C/D box 41	NA	NA	NA
A_21_P0009198	XR_109406	LOC100506609	uncharacterized LOC100506609	NA	NA	NA
A_21_P0013156	NA	XLOC_l2_013125	NA	ENST00000418837	ENSG00000232310	NA
A_33_P3405213	NM_000442	PECAM1	platelet/endothelial cell adhesion molecule	NA	NA	NA
A_33_P3382867	NR_027420	LOC389834	ankyrin repeat domain 57 pseudogene	NA	NA	NA
A_33_P3359383	NM_001004466	OR10H5	olfactory receptor, family 10, subfamily H, member 5	ENST00000308940	ENSG00000172519	284433
A_33_P3358143	NM_001135196	C10orf71	chromosome 10 open reading frame 71	ENST00000374144	ENSG00000177354	118461
A_23_P361773	NM_001760	CCND3	cyclin D3	NA	NA	NA
A_32_P228167	NM_152589	C12orf50	chromosome 12 open reading frame 50	ENST00000298699	ENSG00000165805	160419
A_24_P181295	NM_001001872	C14orf37	chromosome 14 open reading frame 37	ENST00000555101	ENSG00000139971	145407
A_33_P3337277	NA	LOC100129846	uncharacterized LOC100129846	NA	NA	NA
A_21_P0006342	NA	XLOC_007302	NA	NA	NA	NA
A_21_P0012790	NA	XLOC_l2_011255	NA	ENST00000504050	ENSG00000248491	NA
A_21_P0007785	NA	XLOC_010244	NA	NA	NA	NA
A_24_P270769	NM_018206	VPS35	vacuolar protein sorting 35 homolog (S. cerevisiae)	ENST00000541330	NA	NA
A_21_P0010188	NA	XLOC_014028	NA	ENST00000447405	ENSG00000235564	NA
A_24_P291598	NM_003363	USP4	ubiquitin specific peptidase 4 (proto-oncogene)	ENST00000485450	ENSG00000114316	7375
A_33_P3255165	XR_110433	NA	NA	ENST00000540599	NA	NA
A_24_P256404	NA	NA	NA	ENST00000356370	NA	NA
A_33_P3331345	NM_003584	DUSP11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	ENST00000377706	NA	NA
A_33_P3225522	NM_001032731	OAS2	2'-5'-oligoadenylate synthetase 2, 69/71kDa	ENST00000449768	ENSG00000111335	4939
A_33_P3267270	NM_153035	TCEANC2	transcription elongation factor A (SII) N-terminal and central domain containing 2	ENST00000371331	ENSG00000116205	127428
A_33_P3399593	NM_024821	CCDC134	coiled-coil domain containing 134	ENST00000255784	ENSG00000100147	79879
A_33_P3715909	NA	NA	NA	NA	NA	NA
A_23_P761	NM_002796	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	ENST00000493673	ENSG00000159377	5692
A_21_P0004691	NA	XLOC_005480	NA	ENST00000434437	ENSG00000229922	NA
A_23_P165657	NM_005415	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	ENST00000409095	NA	NA
A_21_P0013856	NA	XLOC_l2_015641	NA	NA	NA	NA
A_21_P0009055	NA	XLOC_012003	NA	NA	NA	NA
A_33_P3260066	NM_001178020	BEAN1	brain expressed, associated with NEDD4, 1	ENST00000536005	ENSG00000166546	146227
A_23_P406025	NM_015225	PRUNE2	prune homolog 2 (Drosophila)	ENST00000428286	ENSG00000106772	158471
A_24_P704878	NA	NA	NA	NA	NA	NA
A_21_P0010053	NA	XLOC_013779	NA	NA	NA	NA
A_23_P110791	NM_005211	CSF1R	colony stimulating factor 1 receptor	ENST00000286301	ENSG00000182578	1436
A_21_P0006648	NA	XLOC_008383	NA	ENST00000413941	ENSG00000226861	NA
A_21_P0014227	XR_108933	LOC100506331	uncharacterized LOC100506331	NA	NA	NA
A_33_P3212395	NR_033768	TMED11P	transmembrane emp24 protein transport domain containing 11, pseudogene	ENST00000502630	ENSG00000215367	NA
A_33_P3235716	NM_080861	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	ENST00000360717	NA	NA
A_21_P0012981	NA	XLOC_l2_011987	NA	ENST00000508395	ENSG00000215158	NA
A_23_P78563	NM_024292	UBL5	ubiquitin-like 5	ENST00000358666	ENSG00000198258	59286
A_24_P297480	NM_178861	RNF113B	ring finger protein 113B	ENST00000267291	ENSG00000139797	140432
A_23_P206684	NM_199424	WWP2	WW domain containing E3 ubiquitin protein ligase 2	ENST00000448661	NA	NA
A_23_P112311	NM_012210	TRIM32	tripartite motif containing 32	ENST00000450136	ENSG00000119401	22954
A_33_P3246188	NM_001200049	C10orf92	chromosome 10 open reading frame 92	ENST00000368586	ENSG00000171811	54777
A_32_P201979	NM_182765	HECTD2	HECT domain containing 2	ENST00000446394	ENSG00000165338	143279
A_21_P0011090	NA	XLOC_l2_003293	NA	ENST00000542925	ENSG00000177359	NA
A_33_P3252381	NR_015342	PCA3	prostate cancer antigen 3 (non-protein coding)	ENST00000412654	ENSG00000225937	NA
A_23_P201711	NM_014624	S100A6	S100 calcium binding protein A6	ENST00000462776	ENSG00000197956	6277
A_33_P3316953	NM_001082575	RBFOX3	RNA binding protein, fox-1 homolog (C. elegans) 3	ENST00000415831	NA	NA
A_21_P0010964	NM_002952	RPS2	ribosomal protein S2	ENST00000531065	ENSG00000140988	6187
A_33_P3270009	NM_147223	NCOA1	nuclear receptor coactivator 1	ENST00000405141	ENSG00000084676	8648
A_23_P133438	NM_019018	FAM105A	family with sequence similarity 105, member A	ENST00000274217	ENSG00000145569	54491
A_23_P103361	NM_005356	LCK	lymphocyte-specific protein tyrosine kinase	ENST00000469765	ENSG00000182866	3932
A_23_P20463	NM_006265	RAD21	RAD21 homolog (S. pombe)	ENST00000297338	ENSG00000164754	5885
A_19_P00317108	NR_027451	LOC647979	uncharacterized LOC647979	NA	NA	NA
A_23_P31161	NM_001869	CPA2	carboxypeptidase A2 (pancreatic)	ENST00000480781	ENSG00000158516	1358
A_33_P3402103	NM_001199012	C1orf201	chromosome 1 open reading frame 201	ENST00000483528	ENSG00000001460	90529
A_33_P3319785	NA	COL22A1	collagen, type XXII, alpha 1	ENST00000522546	ENSG00000169436	169044
A_19_P00322929	XR_108544	XLOC_003870	0	ENST00000513179	ENSG00000251580	NA
A_21_P0001104	NA	XLOC_000731	NA	ENST00000421114	ENSG00000226487	NA
A_23_P18325	NM_007217	PDCD10	programmed cell death 10	ENST00000470131	ENSG00000114209	11235
A_33_P3261173	NM_005479	FRAT1	frequently rearranged in advanced T-cell lymphomas	ENST00000490980	ENSG00000165879	10023
A_23_P1083	NM_002060	GJA4	gap junction protein, alpha 4, 37kDa	ENST00000342280	ENSG00000187513	2701
A_21_P0003435	NA	XLOC_003824	NA	ENST00000507776	ENSG00000250971	NA
A_21_P0014167	XR_108674	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	ENST00000379433	ENSG00000111859	4739
A_21_P0001202	NA	XLOC_001115	NA	ENST00000412174	ENSG00000232309	NA
A_23_P153480	NM_012427	KLK5	kallikrein-related peptidase 5	ENST00000336334	ENSG00000167754	25818
A_23_P37942	NM_021195	CLDN6	claudin 6	ENST00000328796	ENSG00000184697	9074
A_23_P24135	NM_001057	TACR2	tachykinin receptor 2	ENST00000373306	ENSG00000075073	6865
A_33_P3702055	NM_000578	SLC11A1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	ENST00000539932	ENSG00000018280	6556
A_33_P3273238	NM_207333	ZNF320	zinc finger protein 320	ENST00000391781	ENSG00000182986	162967
A_24_P198629	NM_001040616	LINS	lines homolog (Drosophila)	NA	NA	NA
A_21_P0004001	NA	XLOC_004386	NA	ENST00000445660	ENSG00000248029	NA
A_23_P171359	NM_019045	WDR44	WD repeat domain 44	ENST00000371825	ENSG00000131725	54521
A_23_P155979	NM_001963	EGF	epidermal growth factor	ENST00000544918	ENSG00000138798	1950
A_23_P42498	NM_003795	SNX3	sorting nexin 3	ENST00000368979	ENSG00000112335	8724
A_24_P398147	NM_006393	NEBL	nebulette	ENST00000377122	ENSG00000078114	10529
A_33_P3332671	NM_181536	PKD1L3	polycystic kidney disease 1-like 3	ENST00000534738	NA	NA
A_24_P272073	NA	NA	NA	NA	NA	NA
A_24_P414803	NM_002667	PLN	phospholamban	ENST00000357525	ENSG00000198523	5350
A_23_P54728	NM_023933	FAM173A	family with sequence similarity 173, member A	ENST00000219535	ENSG00000103254	65990
A_23_P28582	NA	NA	NA	ENST00000442128	ENSG00000229689	NA
A_33_P3250348	NM_019035	PCDH18	protocadherin 18	ENST00000344876	ENSG00000189184	54510
A_33_P3339715	NA	LOC644841	uncharacterized LOC644841	NA	NA	NA
A_19_P00321878	NR_037177	LOC100294145	uncharacterized LOC100294145	NA	NA	NA
A_33_P3348569	NM_001005284	OR9G4	olfactory receptor, family 9, subfamily G, member 4	ENST00000302957	ENSG00000172457	283189
A_33_P3216200	NA	NA	NA	NA	NA	NA
A_21_P0002808	NA	XLOC_002934	NA	ENST00000436078	ENSG00000231574	NA
A_21_P0002412	NA	XLOC_002013	NA	NA	NA	NA
A_33_P3278362	NM_020349	ANKRD2	ankyrin repeat domain 2 (stretch responsive muscle)	ENST00000307518	ENSG00000165887	26287
A_21_P0007632	NA	XLOC_009892	NA	NA	NA	NA
A_33_P3401146	NA	NA	NA	NA	NA	NA
A_23_P250251	NM_000605	IFNA2	interferon, alpha 2	ENST00000380206	ENSG00000188379	3440
A_21_P0002164	NA	XLOC_001338	NA	NA	NA	NA
A_23_P155514	NM_001622	AHSG	alpha-2-HS-glycoprotein	ENST00000541510	NA	NA
A_21_P0014798	XR_132599	LOC100128108	uncharacterized LOC100128108	NA	NA	NA
A_33_P3411388	NM_001080461	UNCX	UNC homeobox	ENST00000316333	ENSG00000164853	340260
A_23_P143569	NM_033257	DGCR6L	DiGeorge syndrome critical region gene 6-like	ENST00000443409	ENSG00000128185	85359
A_33_P3330468	NM_001171080	RBM41	RNA binding motif protein 41	ENST00000372487	ENSG00000089682	55285
A_33_P3233499	NR_026773	C6orf123	chromosome 6 open reading frame 123	ENST00000495520	ENSG00000146521	NA
A_33_P3397383	NA	CDC20B	cell division cycle 20 homolog B (S. cerevisiae)	ENST00000331730	NA	NA
A_24_P135769	NM_198315	VWA5A	von Willebrand factor A domain containing 5A	ENST00000449321	ENSG00000110002	4013
A_33_P3288409	NM_144662	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	ENST00000308268	ENSG00000154611	143471
A_21_P0012213	NR_027072	LINC00189	long intergenic non-protein coding RNA 189	ENST00000545936	NA	NA
A_33_P3298043	NM_001079528	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	NA	NA	NA
A_19_P00318154	XR_110033	LOC100293612	NA	NA	NA	NA
A_23_P251443	NM_000742	CHRNA2	cholinergic receptor, nicotinic, alpha 2 (neuronal)	ENST00000520933	ENSG00000120903	1135
A_24_P924611	NA	EMR4P	egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene	NA	NA	NA
A_32_P141238	NM_020373	ANO2	anoctamin 2	ENST00000543568	NA	NA
A_21_P0011097	NA	XLOC_l2_003400	NA	NA	NA	NA
A_19_P00322850	NA	XLOC_004829	NA	ENST00000511661	ENSG00000248727	NA
A_21_P0003825	NA	XLOC_003422	NA	NA	NA	NA
A_21_P0007318	NR_033972	LOC440028	uncharacterized LOC440028	NA	NA	NA
A_21_P0012408	NA	XLOC_l2_009946	NA	ENST00000492731	ENSG00000241151	NA
A_23_P343398	NM_001838	CCR7	chemokine (C-C motif) receptor 7	ENST00000246657	ENSG00000126353	1236
A_21_P0003388	NA	XLOC_003649	NA	ENST00000506068	ENSG00000250855	NA
A_23_P93750	NM_012322	LSM5	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	NA	NA	NA
A_21_P0006167	NA	XLOC_007435	NA	NA	NA	NA
A_33_P3399765	NA	NA	NA	NA	NA	NA
A_21_P0002499	NA	XLOC_002302	NA	NA	NA	NA
A_23_P167349	NM_000583	GC	group-specific component (vitamin D binding protein)	ENST00000503472	ENSG00000145321	2638
A_21_P0004945	NA	XLOC_005475	NA	NA	NA	NA
A_21_P0006844	NA	XLOC_008418	NA	NA	NA	NA
A_21_P0011411	NR_003661	UBE2Q2P1	ubiquitin-conjugating enzyme E2Q family member 2 pseudogene 1	ENST00000339094	ENSG00000189136	NA
A_23_P79661	NM_019044	CCDC93	coiled-coil domain containing 93	ENST00000376300	ENSG00000125633	54520
A_33_P3274349	NA	NA	NA	NA	NA	NA
A_33_P3330663	NA	NA	NA	NA	NA	NA
A_21_P0014388	XR_109560	DNM2	dynamin 2	ENST00000545324	NA	NA
A_21_P0005535	NA	XLOC_006625	NA	NA	NA	NA
A_21_P0010202	NA	XLOC_014071	NA	ENST00000417138	ENSG00000223608	NA
A_24_P357468	NA	NA	NA	ENST00000390434	ENSG00000211786	NA
A_24_P232365	NM_019043	APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	ENST00000356785	ENSG00000077420	54518
A_24_P307964	NM_001012415	SOHLH1	spermatogenesis and oogenesis specific basic helix-loop-helix 1	ENST00000425225	ENSG00000165643	402381
A_21_P0005249	NA	XLOC_006178	NA	ENST00000411728	ENSG00000231170	NA
A_21_P0002056	NA	XLOC_002122	NA	ENST00000423539	ENSG00000228079	NA
A_19_P00318694	NR_015364	LOC441204	uncharacterized LOC441204	NA	NA	NA
A_21_P0005558	NA	XLOC_006072	NA	NA	NA	NA
A_21_P0010296	NA	XLOC_014110	NA	NA	NA	NA
A_33_P3622472	NM_003491	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	ENST00000393710	ENSG00000102030	8260
A_24_P85200	NM_194278	C14orf43	chromosome 14 open reading frame 43	ENST00000286523	ENSG00000156030	91748
A_33_P3424067	NM_017635	SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)	ENST00000304363	ENSG00000110066	51111
A_24_P101642	XM_001718104	LOC401847	ig heavy chain V-III region VH26-like	NA	NA	NA
A_23_P361049	NM_012223	MYO1B	myosin IB	ENST00000439065	NA	NA
A_21_P0013941	XM_002343116	LOC100287837	NA	ENST00000546324	ENSG00000257038	NA
A_33_P3413558	NM_006566	CD226	CD226 molecule	NA	NA	NA
A_24_P30206	NM_078468	BCCIP	BRCA2 and CDKN1A interacting protein	ENST00000392718	NA	NA
A_19_P00811288	NR_002308	UQCRBP1	ubiquinol-cytochrome c reductase binding protein pseudogene 1	NA	NA	NA
A_23_P10025	NM_006159	NELL2	NEL-like 2 (chicken)	NA	NA	NA
A_24_P347704	NM_006565	CTCF	CCCTC-binding factor (zinc finger protein)	ENST00000264010	ENSG00000102974	10664
A_33_P3214745	NM_001024680	FBXO48	F-box protein 48	ENST00000377957	ENSG00000204923	554251
A_21_P0012431	NA	XLOC_l2_010097	NA	ENST00000445675	ENSG00000226258	NA
A_23_P309198	NR_027128	C21orf67	chromosome 21 open reading frame 67	ENST00000397841	ENSG00000183250	NA
A_21_P0005323	NA	XLOC_006559	NA	ENST00000436714	ENSG00000230941	NA
A_21_P0012951	NA	XLOC_l2_011737	NA	ENST00000515596	ENSG00000250803	100505841
A_21_P0008046	NA	AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	NA	NA	NA
A_33_P3284463	NM_177924	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	ENST00000417108	NA	NA
A_33_P3291836	NA	NA	NA	NA	NA	NA
A_24_P378987	NM_145177	DHRSX	dehydrogenase/reductase (SDR family) X-linked	ENST00000334651	ENSG00000169084	207063
A_32_P202125	NA	LOC100128988	uncharacterized LOC100128988	NA	NA	NA
A_32_P221256	NR_003682	MGC70870	C-terminal binding protein 2 pseudogene	ENST00000391571	NA	NA
A_32_P174025	NM_182704	SELV	selenoprotein V	ENST00000335426	ENSG00000186838	348303
A_23_P170679	NM_000091	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	ENST00000328380	NA	NA
A_21_P0004953	NA	XLOC_005490	NA	NA	NA	NA
A_24_P941643	NM_182734	PLCB1	phospholipase C, beta 1 (phosphoinositide-specific)	ENST00000378641	ENSG00000182621	23236
A_23_P415882	NM_001001563	TIMM50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)	ENST00000314349	NA	NA
A_21_P0010653	NA	XLOC_l2_001097	NA	NA	NA	NA
A_21_P0004807	NA	XLOC_005935	NA	ENST00000449466	ENSG00000223485	NA
A_33_P3323238	NM_014410	CLUL1	clusterin-like 1 (retinal)	ENST00000400606	ENSG00000079101	27098
A_21_P0007693	NA	XLOC_010031	NA	NA	NA	NA
A_21_P0012414	NA	XLOC_l2_010011	NA	NA	NA	NA
A_21_P0008017	XR_109148	LOC100507566	uncharacterized LOC100507566	ENST00000453862	ENSG00000233124	NA
A_33_P3355503	NM_005250	FOXL1	forkhead box L1	ENST00000320241	ENSG00000176678	2300
A_23_P78685	NM_004461	FARSA	phenylalanyl-tRNA synthetase, alpha subunit	ENST00000423140	ENSG00000179115	2193
A_21_P0006696	NA	XLOC_008557	NA	ENST00000425365	ENSG00000238291	NA
A_23_P364567	NM_052995	CLRN1	clarin 1	ENST00000468836	ENSG00000163646	7401
A_23_P40078	NM_003400	XPO1	exportin 1 (CRM1 homolog, yeast)	ENST00000406957	ENSG00000082898	7514
A_33_P3281765	NA	NA	NA	NA	NA	NA
A_33_P3373975	NA	NA	NA	NA	NA	NA
A_21_P0008402	NA	XLOC_010952	NA	NA	NA	NA
A_23_P368558	NM_015348	TMEM131	transmembrane protein 131	ENST00000186436	ENSG00000075568	23505
A_33_P3421490	NM_015206	KIAA1024	KIAA1024	ENST00000305428	ENSG00000169330	23251
A_33_P3321442	NA	NA	NA	ENST00000376267	ENSG00000204532	649137
A_33_P3396129	NA	KATNB1	katanin p80 (WD repeat containing) subunit B 1	NA	NA	NA
A_21_P0010788	NA	XLOC_l2_001322	NA	ENST00000416510	ENSG00000236230	NA
A_23_P48056	NM_006825	CKAP4	cytoskeleton-associated protein 4	ENST00000378026	ENSG00000136026	10970
A_33_P3358653	NA	NA	NA	NA	NA	NA
A_33_P3338116	NM_002292	LAMB2	laminin, beta 2 (laminin S)	ENST00000305544	ENSG00000172037	3913
A_33_P3231437	NA	NA	NA	NA	NA	NA
A_21_P0006805	NA	XLOC_009005	NA	ENST00000443633	ENSG00000232903	NA
A_33_P3220347	NM_001103176	CNPY1	canopy 1 homolog (zebrafish)	NA	NA	NA
A_33_P3310047	NM_020717	SHROOM4	shroom family member 4	ENST00000289292	ENSG00000158352	57477
A_21_P0014064	XR_108326	LOC100506573	uncharacterized LOC100506573	NA	NA	NA
A_24_P34031	NA	EPHA7	EPH receptor A7	ENST00000369297	ENSG00000135333	2045
A_23_P6624	NM_000373	UMPS	uridine monophosphate synthetase	ENST00000479719	ENSG00000114491	7372
A_23_P25813	NM_006683	EDDM3A	epididymal protein 3A	ENST00000326842	ENSG00000181562	10876
A_23_P14157	NM_198968	DZIP1	DAZ interacting protein 1	ENST00000485031	ENSG00000134874	22873
A_23_P96165	NM_024650	C11orf80	chromosome 11 open reading frame 80	ENST00000346672	NA	NA
A_23_P114934	NM_032858	MAEL	maelstrom homolog (Drosophila)	ENST00000367870	ENSG00000143194	84944
A_23_P18579	NM_006607	PTTG2	pituitary tumor-transforming 2	ENST00000504686	ENSG00000250254	10744
A_21_P0012215	NA	XLOC_l2_009050	NA	ENST00000427022	ENSG00000214955	NA
A_23_P318604	NA	CYHR1	cysteine/histidine-rich 1	ENST00000528663	ENSG00000187954	50626
A_23_P252808	NM_012477	WBP1	WW domain binding protein 1	ENST00000494741	ENSG00000239779	23559
A_33_P3334308	NM_007157	ZXDB	zinc finger, X-linked, duplicated B	ENST00000374888	ENSG00000198455	158586
A_21_P0007227	NA	XLOC_009187	NA	NA	NA	NA
A_23_P30603	NM_003649	DDO	D-aspartate oxidase	ENST00000368924	ENSG00000203797	8528
A_33_P3390778	NM_025058	TRIM46	tripartite motif containing 46	ENST00000392451	ENSG00000163462	80128
A_23_P430902	NM_178832	MORN4	MORN repeat containing 4	ENST00000335628	NA	NA
A_19_P00805218	NA	Q6TXI9	NA	NA	NA	NA
A_21_P0008454	NA	XLOC_011063	NA	NA	NA	NA
A_33_P3258244	NM_001142771	PCDH15	protocadherin-related 15	ENST00000414778	ENSG00000150275	65217
A_21_P0003231	NA	XLOC_002654	NA	NA	NA	NA
A_33_P3413732	NA	NA	NA	ENST00000535190	ENSG00000169246	23117
A_21_P0004553	NA	XLOC_004742	NA	NA	NA	NA
A_33_P3374443	NM_024003	L1CAM	L1 cell adhesion molecule	ENST00000439496	ENSG00000198910	3897
A_21_P0001874	NA	XLOC_001513	NA	ENST00000450944	ENSG00000236605	NA
A_21_P0003805	NA	XLOC_004190	NA	NA	NA	NA
A_23_P19624	NM_001718	BMP6	bone morphogenetic protein 6	ENST00000283147	ENSG00000153162	654
A_21_P0011258	NA	XLOC_l2_004315	NA	NA	NA	NA
A_24_P187859	NA	MRPS27	mitochondrial ribosomal protein S27	NA	NA	NA
A_21_P0007800	NA	XLOC_010257	NA	NA	NA	NA
A_23_P7253	NM_018078	LARP1B	La ribonucleoprotein domain family, member 1B	ENST00000441387	NA	NA
A_33_P3239759	NM_001198690	PPAN-P2RY11	PPAN-P2RY11 readthrough	ENST00000321826	ENSG00000244165	5032
A_23_P92909	NM_205841	SPINK6	serine peptidase inhibitor, Kazal type 6	ENST00000325630	ENSG00000178172	404203
A_24_P631848	NA	LOC100132147	uncharacterized LOC100132147	ENST00000451828	ENSG00000228549	NA
A_24_P106794	NM_032869	NUDCD1	NudC domain containing 1	ENST00000239690	ENSG00000120526	84955
A_23_P16032	NR_002166	TRAPPC2P1	trafficking protein particle complex 2 pseudogene 1	ENST00000543226	ENSG00000256060	10597
A_33_P3372566	NA	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	ENST00000443426	ENSG00000124574	89845
A_33_P3251332	NM_015473	HEATR5A	HEAT repeat containing 5A	ENST00000389961	NA	NA
A_33_P3251776	NM_001142777	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	ENST00000262520	ENSG00000099377	80270
A_23_P52101	NM_016243	CYB5R1	cytochrome b5 reductase 1	ENST00000497655	ENSG00000159348	51706
A_21_P0006259	NA	XLOC_007661	NA	NA	NA	NA
A_21_P0006843	NA	XLOC_008417	NA	NA	NA	NA
A_33_P3311750	NM_014695	CCDC144A	coiled-coil domain containing 144A	ENST00000456009	ENSG00000170160	9720
A_19_P00321067	NR_003491	MIAT	NA	NA	NA	NA
A_32_P56525	NM_014719	FAM115A	family with sequence similarity 115, member A	ENST00000479870	ENSG00000198420	9747
A_33_P3234118	NM_001166599	FAM122B	family with sequence similarity 122B	NA	NA	NA
A_33_P3229587	NA	NA	NA	NA	NA	NA
A_19_P00319226	NR_026867	ZNF300P1	NA	ENST00000520773	ENSG00000197083	NA
A_32_P35800	NM_015325	KIAA0947	KIAA0947	ENST00000296564	ENSG00000164151	23379
A_33_P3325952	NA	NA	NA	NA	NA	NA
A_23_P144384	NM_017423	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	ENST00000265000	ENSG00000109586	51809
A_33_P3366296	NR_026731	C14orf23	chromosome 14 open reading frame 23	NA	NA	NA
A_33_P3402545	NR_015394	LOC285205	uncharacterized LOC285205	ENST00000494231	ENSG00000240423	NA
A_23_P143694	NM_006941	SOX10	SRY (sex determining region Y)-box 10	ENST00000396884	ENSG00000100146	6663
A_33_P3252781	NM_001012973	PLAC9	placenta-specific 9	ENST00000372267	ENSG00000189129	219348
A_32_P22501	NR_034170	LOC645212	uncharacterized LOC645212	ENST00000313807	ENSG00000179523	NA
